way_id,psid
114456760,395
114456744,395
114456778,395
114456741,395
114456756,395
114456784,395
114456749,395
114456771,395
114456775,395
114456786,395
114456748,395
114456746,395
114456758,395
114456755,395
114456770,395
114456767,395
114456761,395
114456765,395
114456743,395
114456757,395
114456781,395
114456750,395
114456740,395
114456773,395
114456785,395
114456753,395
114456776,395
114456782,395
114456745,395
114456772,395
114456763,395
114456742,395
114456780,395
46946550,411
27931628,411
160417643,411
24968396,411
55494710,411
27931625,411
160417640,411
160417641,411
160417642,411
46946548,411
46946556,411
55494362,411
55494711,411
27931624,411
27931627,411
160417645,411
46946856,412
27931585,412
27931583,412
27931598,412
27931586,412
27931582,412
27931606,412
27931610,412
27931615,412
27931589,412
27931581,412
27931592,412
27931590,412
27931591,412
27931612,412
27931613,412
49142354,413
27931611,413
27931600,413
27931599,413
27931601,413
27931602,413
27931604,413
27931603,413
27931620,413
27931619,413
52584142,414
52584143,414
28944208,414
52584136,414
97821311,414
28943892,414
97821309,414
28943450,415
28943449,415
28943448,415
28943104,415
28943878,415
28943092,415
28943890,415
28943888,415
28943452,416
28943451,416
28943456,416
28943460,416
93268200,416
55806318,416
55806303,416
55806277,416
55806263,416
55806313,416
55806284,416
55806255,416
55806240,416
55806308,416
55806281,416
55806252,416
55806323,416
55806296,416
55806271,416
55806249,416
28943461,416
24699236,417
28943454,417
28943459,417
28943457,417
28943466,417
28943860,417
28943861,417
28943862,417
28943864,417
68047436,417
93268201,417
28943462,417
28943865,417
39397651,417
28943868,417
28943858,418
28943872,418
24699397,418
163553872,418
98883386,419
98883397,419
98883409,419
98883361,419
98883364,419
52584179,419
52584163,419
52584170,419
98883426,419
98883370,419
52584171,419
98883437,419
97821318,419
97821317,419
97590131,419
97821319,419
52584167,419
28782618,419
48299423,419
48299421,419
28782616,419
28943908,419
98883440,419
28943909,419
98883422,419
28943910,419
98883359,419
98883358,419
98883429,419
98883377,419
98883423,419
98883419,419
52584165,419
52584156,419
98883404,419
52584157,419
52584160,419
52584158,419
52584139,419
52584141,419
98883430,419
98883360,419
98883405,419
98883434,419
98883408,419
98883356,419
52584169,419
52584166,419
28943913,420
28943914,420
28943915,420
28943091,420
31560271,420
28943919,420
27931596,420
27931595,420
27931597,420
27931584,420
31560272,421
31560273,421
27892130,421
27921468,421
27892126,421
27921469,421
35013323,421
27892127,421
110560879,421
31560270,421
124351232,422
27921472,422
35013930,422
27892129,422
27892123,422
27892128,422
35013324,422
27921470,422
35013510,422
35013509,422
35014352,422
35014355,423
27931748,423
35014597,423
27931744,423
27931749,423
35014357,423
35014598,423
28046161,424
27931751,424
39580357,424
130447012,424
130447008,424
130446993,424
27931764,424
130447016,424
39580351,424
27931756,424
27931753,424
48239643,424
27931762,424
39580358,424
27931747,424
27931754,424
35012976,3253
40735578,2172
40735577,2172
30158915,2172
30158913,2172
30158919,2172
30158918,2172
35668054,2172
172558401,2172
48832187,2173
48832186,2173
48832188,2173
48832184,2173
29236373,2173
35668051,2173
48831935,2173
124697445,2174
48832488,2174
34915843,2174
34915841,2174
34915842,2174
54237175,2174
32724271,2174
32724268,2174
35977693,2174
97792140,2174
48832490,2174
34919677,2174
35559191,2174
35977645,2174
35977644,2174
35977652,2174
35977647,2174
37125184,2175
32930091,2175
48832561,2175
35545538,2175
48832649,2175
32724369,2175
32724374,2175
32724277,2175
32724357,2175
32724316,2175
35545537,2175
27927765,2176
27927775,2176
27927757,2176
27927770,2176
97792141,2176
97792146,2176
32689141,2176
34235513,2176
32610760,2177
32610757,2177
78482441,2177
32610752,2177
32610754,2177
32610753,2177
32610762,2177
32610764,2177
32610768,2177
32610766,2177
32610755,2177
32610774,2177
32610833,2177
32610776,2177
78482507,2177
32610824,2177
32610778,2177
32610831,2178
32610828,2178
32610839,2178
32610826,2178
32610841,2178
32610837,2178
32462866,2178
32435248,2178
32610851,2178
32610850,2178
32610854,2178
32610855,2178
32610845,2178
32683769,2178
34235523,2178
39264574,2178
32610853,2178
39264573,2178
32689107,2178
34235516,2178
32610789,2179
32610787,2179
32610791,2179
32610780,2179
32610793,2179
32610794,2179
32610799,2179
32610795,2179
32610796,2179
